token,lemma_guess,tag,sentence,category
دستم,دست,N_SING_COM_PAFF_1,شب جمعه رفتیم تو سفارت و توی صحنه و پرده رو نیمه‌باز کردن که دستم رو یکی گرفت و گفت نمی‌خواد بخونی .,possessive
بزنم,بزن,V_SUB_POS_1,یک جایی من خودم را می‌آورم پایین‌تر از مخاطب ، برای این که حرفم را به او بزنم .,verbal
خوشحالم,خوشحال,V_PRE_ADJC_1,به‌هرحال در تاریخ سینمای ایران این‌چنین ثبت شده و من نیز از این قضیه خوشحالم ، اما این که پس از آن فرصت تکرار این تجربه فراهم نشد ، به تقدیر برمی‌گردد .,copular
گفتم,گفت,V_PA_SIM_POS_1,من قاطعانه به شما می‌گویم 99 درصد کسانی که دلار و کوپن و از این چیزها می‌فروشند از دور دستی در یکی از کارهای خلاف جامعه دارند ، و چون برمی‌گردیم به بافت اجتماعی‌مان ، همه اینها باز به آن تربیت برمی‌گردد ، به فرهنگ ؛ یعنی من هر چه را دیدم رسیده به فرهنگ و برای همین گفتم فرهنگ .,verbal
پذیرفتم,پذیرفت,V_PA_SIM_POS_1,قبلا بخشی از ذهنم را معضلات اجتماعی به خود مشغول کرده بود و یکی - دو تا طرح داستانی هم نوشته بودم که به مدیر گروه دادم و همین طرحهای داستانی باعث شد که گروه اجتماعی شبکه سه بگوید که این ژانر را مستند کار کن و من هم پذیرفتم و شروع به کار کردیم .,verbal
دستم,دست,N_SING_COM_PAFF_1,حرفش را بریدم که : از درکه وارد شدم سیگار دستم بود و زورم آمد سلام کنم .,possessive
شغلم,شغل,N_SING_COM_PAFF_1,» زمانی که خبرنگار نشریه « کاندیز » برای مصاحبه به خانه کوین می‌رود ، متوجه می‌شود که خانواده‌اش در مورد مصاحبه با او بحث زیادی داشته‌اند و او را از قبول مصاحبه منع کرده‌اند : « آنها همیشه در این مورد و این که من راجع‌به خودم و شغلم مصاحبه کنم ، با من بحث می‌کنند ، ولی من فکر می‌کنم که با این کار خودم را کوچک نکرده‌ام .,possessive
نظرم,نظر,N_SING_COM_PAFF_1,به نظرم آمد که این سریال سه ایراد عمده دارد : 1 - شخصیت‌پردازی آدمهای اصلی مجموعه که یک‌دست و روان نیست ؛ 2 - شوخی‌های بیش از اندازه این آدمها با هم ) به‌هرحال ما هم در محیطهایی جوانانه سالها کار کرده‌ایم و این جو را می‌شناسیم ، و این محیطها این‌گونه نیست که چند جوان به مجرد با هم بودن ، دائم با یکدیگر شوخی کنند ( .,possessive
بتوانم,بتوان,V_SUB_POS_1,اما در مونتاژ بیشترین ضرر را دادیم ؛ یعنی شاید بتوانم بگویم مونتاژ این برنامه هر قسمتش حدود سیصد هزار تومان برای ما تمام شد .,verbal
بدهم,بده,V_SUB_POS_1,یک جایی هم می‌گویم : مخاطب تو خودت باید بدوی ؛ تا کی من باید به این عقب‌ماندگی تو جواب مثبت بدهم ؟,verbal
فیلمم,فیلم,N_SING_COM_PAFF_1,برای مثال ، آخرین فیلمم « سوار بی‌سر » را هنگام ساخت فیلمی صامت در نظر گرفته بودم .,possessive
می‌کنم,می‌کن,V_PRS_POS_1,هر‌چه بیشتر کار می‌کنم ، به اهمیت تحقیق بیشتر پی می‌برم .,verbal
متاسفم,متاسف,V_PRE_ADJC_1,لی می‌گوید : « همیشه دوست داشتم با تلویزیون کار کنم و از این که تا قبل از این فرصت این همکاری فراهم نشد ، بسیار متاسفم .,copular
پدرم,پدر,N_SING_COM_PAFF_1,« پدرم هم مثل من خجالتی بود .,possessive
متنفرم,متنفر,V_PRE_ADJC_1,* من از مستندهایی که در مورد مسائل خانوادگی ساخته می‌شوند ، متنفرم .,copular
ندارم,ندار,V_PRS_NEG_1,شک ندارم که روزی فرا‌می‌رسد که همین افکار و راهکارها زمینه‌ای می‌شود برای تشکیل همان دژ مستحکم فرهنگی ، اما ترسی که دارم این است که بی‌توجهی باعث نابودی انگیزه شود .,verbal
سرم,سر,N_SING_COM_PAFF_1,و من ایستادم در باتلاق ، بین نیلوفران بلند ، و باران بر سرم فرو‌می‌چکید - و نیلوفرها همگی در شکوه فلاکت خود آه می‌کشیدند .,possessive
می‌کردم,می‌کرد,V_PA_PRG_POS_1,از هر کی می‌دیدیم می‌پرسیدیم چه حسی دارید ، می‌گفت کاشکی آن ور مصاحبه می‌کردم .,verbal
ببینم,ببین,V_SUB_POS_1,ببینم حسینی ، تو ... [ زیرچشمی به احمد می‌نگرد ، احمد سر به زیر دارد ] روزه‌ای ؟,verbal
نبرم,نبر,V_SUB_NEG_1,می‌گفتم من که هنر خواندم ، همیشه سعی می‌کنم مسائل تاوری را جوری به کار نبرم که معلوم باشد ؛ سعی می‌کنم پشتوانه کارم باشد .,verbal
دخترم,دختر,N_SING_COM_PAFF_1,دخترم ، کیتی می‌خواهد خواننده اپرا شود .,possessive
خوانده‌ام,خوانده‌ا,V_PA_NAR_POS_1,جایی خوانده‌ام که آمار شاعران ، آماری میلیونی است .,verbal
معتقدم,معتقد,V_PRE_ADJC_1,معتقدم که وضعیت سیاسی‌اجتماعی روز در آن بخوبی نشان داده شده و به همین دلیل مورد توجه مردم قرار گرفته و اکثریت اقشار جامعه را به خود جذب کرده است .,copular
پسرم,پسر,N_SING_COM_PAFF_1,تو که نبودی پسرم .,possessive
نظرم,نظر,N_SING_COM_PAFF_1,معارف فراوانی از قول زنان غیبگو بازگو شده ؛ و درباره اوراق نامعلومی که اطراف دودونا می‌جنبید ، از قدیم چیزهایی رازناک و مقدس نقل شده بود - اما [ ... ] همین حکایت خیال‌انگیزی که شیطان در خلوت مقبره کنارم نشست و برایم تعریف کرد ، به نظرم از همه عالیتر است .,possessive
مادرم,مادر,N_SING_COM_PAFF_1,وحید در این باره می‌گوید : « عشق را از مادرم و غرور را از پدرم آموختم .,possessive
ندارم,ندار,V_PRS_NEG_1,باءین‌حال ، من قبول ندارم که فقط فقر باعث ارتکاب جرایم می‌شود .,verbal
بدانم,بدان,V_SUB_POS_1,* نمی‌توانم حرفه گویندگی را کاملا کاری هنری بدانم .,verbal
سرم,سر,N_SING_COM_PAFF_1,همین که سرم پایین بود ، یکی زد تخت سینه‌ام : پسر کجایی !,possessive
ساعتم,ساعت,N_SING_COM_PAFF_1,صاحب مغازه : [ درحالی‌که به ساعت اشاره می‌کند ] ساعتم ، هفت و ... ساعت حدود ده دقیقه به زنگ را نشان می‌دهد .,possessive
استادم,استاد,N_SING_COM_PAFF_1,از دوران نوجوانی کار بازیگری را نزد استادم گلاب آدینه شروع کردم و بعد این رشته را در دانشگاه ادامه دادم .,possessive
کنم,کن,V_SUB_POS_1,مریم : این مساله رو حل کنم ، چشم .,verbal
نظرم,نظر,N_SING_COM_PAFF_1,آثار تولیدشده به نظرم قابل اعتنا نیست و چیز تازه‌ای در این زمینه نمی‌شنوم .,possessive
می‌کردم,می‌کرد,V_PA_PRG_POS_1,چون اگر فکر می‌کردم که دوست دارم کار دیگری را تجربه کنم ، همان ابتدای کار به این امر مبادرت می‌کردم .,verbal
کارم,کار,N_SING_COM_PAFF_1,من خودم روز اولی که به کار هنر قدم گذاشتم یه کشیده محکم خوردم و کارم رو ازم گرفتن .,possessive
خواستم,خواست,V_PA_SIM_POS_1,مادر : [ با شوخی ] نه ، نه ، خواستم ثوابی هم برده باشد .,verbal
پسرم,پسر,N_SING_COM_PAFF_1,- گوش کن پسرم !,possessive
نتوانستم,نتوانست,V_PA_SIM_NEG_1,اما نتوانستم این پیشنهادها را به علت میزبانی فرزندان عزیزم که ساکن غربت هستند و هر سال مدت کوتاهی به دیدن ما می‌آیند ، بپذیرم .,verbal
نکرده‌ام,نکرده‌ا,V_PA_NAR_NEG_1,البته من به دلیل حرمتی که برای حرفه‌ام قائلم ، چنین نکرده‌ام .,verbal
نظرم,نظر,N_SING_COM_PAFF_1,* با توجه به اطلاعاتی که ما از کل مملکت داریم به نظرم توفیق زیادی داشته ؛ یعنی این که یکی از موفق‌ترین شبکه‌های سازمان در ارتباط با جوانان شبکه سه است .,possessive
دیدم,دید,V_PA_SIM_POS_1,زمانی که من این بخش را دیدم احساس جالبی داشتم .,verbal
نظرم,نظر,N_SING_COM_PAFF_1,به نظرم ، این کار برای نوجوانانی که این مسائل و مشکلات را در زندگیشان دارند ، بسیار مفید و موثر است و آنها می‌توانند با سمبل قرار دادن شخصیتی به نام سحر به الگوی مناسبی در زندگی برسند و به نوعی همذات‌پنداری کنند .,possessive
امیدوارم,امیدوار,V_PRE_ADJC_1,* امیدوارم بتوانیم مسائل مورد توجه مخاطبان را تهیه کنیم و در اختیارشان قرار دهیم .,copular
زارم,زار,V_PRE_ADJC_1,از گریه سخت زارم .,copular
شدم,شد,V_PA_SIM_POS_1,... * در آخر می‌گویم این برنامه در مجموع برنامه جالب و پرتحرک و شادی است و از این که من به عنوان تهیه‌کننده این برنامه معرفی شدم و در حال حاضر هم با تهیه این برنامه در خدمت شنوندگان عزیز هستم ، بسیار خوشحالم و امیدوارم که توانسته باشم رضایت خاطر شنوندگان را جلب کنم .,verbal
پسرم,پسر,N_SING_COM_PAFF_1,نه پسرم نه پدرم واسه این نیست .,possessive
معتقدم,معتقد,V_PRE_ADJC_1,* به تلفیقی از هر دو معتقدم ، به شرط آن که در این تلفیق سهم دومی بیشتر باشد .,copular
ببینم,ببین,V_SUB_POS_1,اما می‌خواهم ببینم در مورد مخاطبی که دوست دارد مقداری پیام مستقیم بشنود ، دچار مشکل نشدید و مساله‌ای نداشتید ؟,verbal
مطمئنم,مطمئن,V_PRE_ADJC_1,تماشاگر با اینها مشکل دارد ، ولی من مطمئنم که بعد از چند قسمت می‌پذیرد .,copular
امیدم,امید,V_PRE_NC_1,# احمد شاملو # نمونه‌ای از اشعار وی عبارتست از : !!! غم دل به دوست گفتن چه خوشست ، شهریارا ز نوای مرغ یا حق بشنو ، که در دل شب به پیام آشنایی بنوازد ، آشنا را همه شب در این امیدم ، که نسیم صبحگاهی که سان غیب خوشتر .,possessive
نشدم,نشد,V_PA_SIM_NEG_1,گفتم همین یکی هم اگر باشد خوب است ؛ اما من سوال شما را درست متوجه نشدم .,verbal
شنیدم,شنید,V_PA_SIM_POS_1,* من هم شنیدم که مقام معظم رهبری از این برنامه استقبال کرده‌اند و آقای لاریجانی هم همین طور .,verbal
هستم,هست,V_PRS_POS_1,... * در آخر می‌گویم این برنامه در مجموع برنامه جالب و پرتحرک و شادی است و از این که من به عنوان تهیه‌کننده این برنامه معرفی شدم و در حال حاضر هم با تهیه این برنامه در خدمت شنوندگان عزیز هستم ، بسیار خوشحالم و امیدوارم که توانسته باشم رضایت خاطر شنوندگان را جلب کنم .,verbal
کرده‌ام,کرده‌ا,V_PA_NAR_POS_1,اما تیپ‌های جدی مختلف با گرایش‌های اجتماعی ، عشقی و ... هم بوده که من آنها را بازی کرده‌ام .,verbal
زبانم,زبان,N_SING_COM_PAFF_1,نمی‌دانم چرا با دیدن این مکان دائم یک بیت شعر بر زبانم جاری می‌شود : !!! یادم کن تا هستم تو ای نگار آسمانی - با یادت سرمستم تو ای امید زندگانی !!! .,possessive
کنم,کن,V_SUB_POS_1,چون اگر فکر می‌کردم که دوست دارم کار دیگری را تجربه کنم ، همان ابتدای کار به این امر مبادرت می‌کردم .,verbal
بمیرم,بمیر,V_SUB_POS_1,مادر : بمیرم الهی ، ببین صورتش چطور شده ، بچه‌م !,verbal
می‌کردم,می‌کرد,V_PA_PRG_POS_1,فکر می‌کردم سوالهای این‌جوری‌تان تمام شد .,verbal
پسرم,پسر,N_SING_COM_PAFF_1,پسرم هم در نمایشهای مدرسه بازی می‌کند ، اما فکر می‌کنم او در آینده هر موقعیتی را برای بازیگری رد کند » .,possessive
دارم,دار,V_PRS_POS_1,# « تا جمعه » را به خاطر بداهه‌کاری دوست دارم .,verbal
دارم,دار,V_PRS_POS_1,* دوست دارم تا پایان عمرم در این حیطه فعال باشم .,verbal
امیدوارم,امیدوار,V_PRE_ADJC_1,امیدوارم این طور باشد .,copular
کارم,کار,N_SING_COM_PAFF_1,بیشتر بازیگران پرمدعا در مورد سختی‌ای که در ایفای نقش می‌کشند ، صحبت می‌کنند ، اما کوین واتلی در خصوص خود و شیوه بازیگری‌اش چنین می‌گوید : « من بازیگری نیستم که در کارم روش خاصی داشته باشم ، فکر می‌کنم شما برای بازیگری باید چشم سومی داشته باشید و به کمک آن عقب بایستید و به نقشی که اجرا می‌کنید ، بی‌طرفانه نگاه کنید » .,possessive
بشورم,بشور,V_SUB_POS_1,احمد : هنوز دیرم نشده [ به ساعت اشاره می‌کند ، نیم ساعت مانده به زنگ ] ولی تا بیام دست‌و‌رومو بشورم و صبحونه بخورم دیرم شده ، خب !,verbal
ندارم,ندار,V_PRS_NEG_1,من اصولا برنامه‌های شعاری را حتی اگر دارای زیباترین متن هم باشند ، دوست ندارم ؛ حتی اگر آن را اجرا هم بکنم .,verbal
زبانم,زبان,N_SING_COM_PAFF_1,یک حرف و دو حرف بر زبانم .,possessive
بودم,بود,V_PA_SIM_POS_1,مضاف بر این که در این مورد با مساولان شبکه هم دائم برای مشورت در ارتباط بودم .,verbal
پسرم,پسر,N_SING_COM_PAFF_1,پسرم هم در نمایشهای مدرسه بازی می‌کند ، اما فکر می‌کنم او در آینده هر موقعیتی را برای بازیگری رد کند » .,possessive
داشتم,داشت,V_PA_SIM_POS_1,حقیقتا دوست داشتم از لحظه لحظه زمان برای بودن با بچه‌هایم لذت ببرم .,verbal
امیدوارم,امیدوار,V_PRE_ADJC_1,... * در آخر می‌گویم این برنامه در مجموع برنامه جالب و پرتحرک و شادی است و از این که من به عنوان تهیه‌کننده این برنامه معرفی شدم و در حال حاضر هم با تهیه این برنامه در خدمت شنوندگان عزیز هستم ، بسیار خوشحالم و امیدوارم که توانسته باشم رضایت خاطر شنوندگان را جلب کنم .,copular
ناچارم,ناچار,V_PRE_ADJC_1,ازدواج کردم و شرایط زندگی برایمان فراهم نیست و نمی‌توانم خرج زندگی را بدهم و ناچارم که مدتی را دور از مملکت باشم .,copular
حاضرم,حاضر,V_PRE_ADJC_1,آقای ابوالفضل جلیلی گفت من حاضرم در تمام مسائل با شما همکاری کنم ؛ چقدر جو خوب و دوستانه و جدی‌ای دارید ؛ این جمع به یک جایی می‌رسد ؛ این جمع به هدفش می‌رسد .,copular
دستم,دست,N_SING_COM_PAFF_1,رایس فرهنگ که اجازه نشستن داد ، نگاهش لحظه‌ای روی دستم مکث کرد و بعد چیزی را که می‌نوشت تمام کرد و می‌خواست متوجه من بشود که رونویس حکم را روی میزش گذاشته بودم .,possessive
مایلم,مایل,V_PRE_ADJC_1,با توجه به این که این نسل دچار دگرگونی و تغییرات شده ، مایلم تعریفتان را از مخاطب بگویید ؟,copular
کارم,کار,N_SING_COM_PAFF_1,من خودم روز اولی که به کار هنر قدم گذاشتم یه کشیده محکم خوردم و کارم رو ازم گرفتن .,possessive
کارم,کار,N_SING_COM_PAFF_1,می‌گفتم من که هنر خواندم ، همیشه سعی می‌کنم مسائل تاوری را جوری به کار نبرم که معلوم باشد ؛ سعی می‌کنم پشتوانه کارم باشد .,possessive
می‌تونم,می‌تون,V_PRS_POS_1,پس امشب می‌تونم بگم قبول باشه .,verbal
بیاورم,بیاور,V_SUB_POS_1,فکرم این بود که به این وسیله یک فضای خیلی دلگیر و وهم‌آلود به وجود بیاورم و این که انسان شایسته نیست در این فضا باشد .,verbal
نمی‌دانم,نمی‌دان,V_PRS_NEG_1,* باور کنید که که خودم هم نمی‌دانم .,verbal
می‌گفتم,می‌گفت,V_PA_PRG_POS_1,روزهای تعطیل من به ایشان زنگ می‌زدم و می‌گفتم این مشکل را دارم .,verbal
بکنم,بکن,V_SUB_POS_1,من اصولا برنامه‌های شعاری را حتی اگر دارای زیباترین متن هم باشند ، دوست ندارم ؛ حتی اگر آن را اجرا هم بکنم .,verbal
بدهم,بده,V_SUB_POS_1,نمی‌شود بقیه سوالها را تستی جواب بدهم ؟,verbal
می‌دانم,می‌دان,V_PRS_POS_1,در کلیات ، حفظ چارچوب اصلی را ضروری می‌دانم .,verbal
بسازم,بساز,V_SUB_POS_1,قرار است کار بصری بسازم و چون رسانه تصویر را انتخاب کردم ، باید از آن زبان و تکنیک و از آن ترفندها استفاده کنم تا پیام خودم را بتوانم انتقال بدهم .,verbal
خواستارم,خواستار,V_PRE_ADJC_1,* در پایان توفیق همه دست‌اندرکاران این برنامه از پخش ، نودال ، ماهواره ، هماهنگی ، حمل‌و‌نقل و ... را خواستارم ، و توفیق شما .,copular
بتوانم,بتوان,V_SUB_POS_1,قرار است کار بصری بسازم و چون رسانه تصویر را انتخاب کردم ، باید از آن زبان و تکنیک و از آن ترفندها استفاده کنم تا پیام خودم را بتوانم انتقال بدهم .,verbal
کردم,کرد,V_PA_SIM_POS_1,برای همین ، مدتی که از پیش‌تولید گذشت ، با یک جور ممیزی درونی شروع کردم به کار .,verbal
می‌آورم,می‌آور,V_PRS_POS_1,یک جایی من خودم را می‌آورم پایین‌تر از مخاطب ، برای این که حرفم را به او بزنم .,verbal
معتقدم,معتقد,V_PRE_ADJC_1,از‌همین‌رو در اختیار کردن دیدگاه و زاویه دید و پل زدن به زمانه هم به اصالت اختیار در اقتباس معتقدم .,copular
گرفتارم,گرفتار,V_PRE_ADJC_1,شخصی به هزار غم گرفتارم .,copular
می‌شدم,می‌شد,V_PA_PRG_POS_1,اینها می‌نشستند با ما صحبت می‌کردند و می‌گفتند اگر این کار را بکنی بهتر است ، و من قانع می‌شدم و بعضی جاها هم قانع نمی‌شدم ، می‌گفتند خیلی خوب ، نکن .,verbal
متحیرم,متحیر,V_PRE_ADJC_1,توتیا را به دو چشم خونفشانم هله‌ای نسیم رحمت ، متحیرم چه نامم شه ملک لافتی را ، نه خدا توانمش خواند ، نه بشر توانمش گفت .,copular
می‌مانم,می‌مان,V_PRS_POS_1,اما من خود را در این هنر یافته‌ام و در آن باقی می‌مانم .,verbal
برادرم,برادر,N_SING_COM_PAFF_1,بعضی وقتها هم من و برادرم و بقیه خواهرهایم لباس خوب می‌پوشیدیم و به باشگاههایی که او در آنها اجرا داشت ، می‌رفتیم .,possessive
می‌کنم,می‌کن,V_PRS_POS_1,* گاهی اوقات ، درصورتی‌که با کارگردان یا تهیه‌کننده روی بازیگر معینی توافق شده باشد ، سعی می‌کنم نقش را بر اساس تواناییهای بازیگر بنویسم .,verbal
دستم,دست,N_SING_COM_PAFF_1,حرفش را بریدم که : از درکه وارد شدم سیگار دستم بود و زورم آمد سلام کنم .,possessive
پدرم,پدر,N_SING_COM_PAFF_1,من در کودکی هیچ‌وقت به حد کافی با پدرم نبودم ، چون او بیشتر در دریا بود .,possessive
رفیقم,رفیق,V_PRE_ADJC_1,... با مهدی سجاده‌چی هم خیلی رفیقم !,copular
می‌توانم,می‌توان,V_AUX_INF_PPRS_1,ولی من به جرات می‌توانم بگویم چیزی که خیلی مهم است ، محتوای برنامه رادیویی است .,verbal
نظرم,نظر,N_SING_COM_PAFF_1,به نظرم ، مطبوعات ، خود تلویزیون و دیگر رسانه‌ها وقتی برنامه‌ای راه جدیدی را شروع می‌کند ، فقط باید حمایتش کنند .,possessive
یافته‌ام,یافته‌ا,V_PA_NAR_POS_1,اما من خود را در این هنر یافته‌ام و در آن باقی می‌مانم .,verbal
"""پسرم",پسر,N_SING_COM_PAFF_1,"""""صاف می‌کرد و می‌گفت : """""""" بیا پسرم ، تعریف کن ببینم ."""";NOUN_POSS_1SG"";;;",possessive
بشوم,بشو,V_SUB_POS_1,شرایط زندگی من و شرایط امروز اجازه نمی‌دهد که با آن سوژه خیلی درگیر بشوم تا جایی که تغییری در سرنوشتش ایجاد کنم .,verbal
معتقدم,معتقد,V_PRE_ADJC_1,شاید کسی که الان این مطلب را می‌خواند ، این حس را بگیرد که اینها چقدر از خود متشکر شده‌اند ... ولی من معتقدم که اینها را باید گفت ؛ برای این که دستشویی رفتن ، جزای از زندگی است و باید دید .,copular
خواهم,خواه,V_AUX_INF_PF_1,اگر شیرش را بدوشی ، برای او خواهم برد .,verbal
نمی‌گیرم,نمی‌گیر,V_PRS_NEG_1,* عقیلی : یکی از مشکلاتی که ما داشتیم در دعوت از عزیزان - حالا من از ایشان ایراد نمی‌گیرم - و این به خاطر برخورد بد برنامه‌سازهاست ، این است که به این عزیزان وقتی می‌گویید بفرمایید فلان برنامه صحبت کنید ، سریع می‌گویند می‌خواهیم برویم آنجا بگویند چند سالته ؟,verbal
